FIPS,County,PCT_DIABETES_ADULTS08,PCT_DIABETES_ADULTS13,PCT_OBESE_ADULTS08,PCT_OBESE_ADULTS13,PCT_HSPA15,RECFAC09,RECFAC14,PCH_RECFAC_09_14,RECFACPTH09,RECFACPTH14,PCH_RECFACPTH_09_14
1001,Autauga,11.4,13,31.5,34.1,25.4,4,5,25,0.073889351,0.090260854,22.1567831
1003,Baldwin,9.8,10.4,26.2,27.4,25.4,18,25,38.88888889,0.100331093,0.124930663,24.51839229
1005,Barbour,13.6,18.4,37.6,44.4,25.4,1,0,-100,0.0361572,0,-100
1007,Bibb,11.1,14.8,32.3,40.3,25.4,1,1,0,0.0435901,0.0444326,1.932817915
1009,Blount,11.4,14.1,31.9,34.6,25.4,3,3,0,0.0523186,0.051976,-0.654897001
1011,Bullock,14.9,19.6,37.8,43,25.4,0,0,0,0,0,0
1013,Butler,15.1,17.7,36.8,36.3,25.4,0,1,,0,0.0492708,
1015,Calhoun,14.5,14.9,33.5,32.2,25.4,7,7,0,0.0591401,0.0603886,2.111011422
1017,Chambers,16.1,16.4,35.5,39.7,25.4,2,0,-100,0.0581666,0,-100
1019,Cherokee,13.6,13.3,31.5,33.6,25.4,1,1,0,0.0386787,0.0384069,-0.70284595
1021,Chilton,10.2,13.3,34.8,35.9,25.4,3,2,-33.33333333,0.068990893,0.0455259,-34.01166982
1023,Choctaw,14.7,18.1,36.5,40.8,25.4,0,0,0,0,0,0
1025,Clarke,14.1,16.3,36,38.2,25.4,2,3,50,0.076810815,0.120264582,56.57245941
1027,Clay,13.2,14.6,32.2,37.3,25.4,0,0,0,0,0,0
1029,Cleburne,11,12.6,28.8,30,25.4,0,1,,0,0.066312997,
1031,Coffee,12.1,15.9,32.7,33.7,25.4,5,4,-20,0.101132686,0.078571569,-22.30843269
1033,Colbert,13.5,18.7,34.7,37.5,25.4,4,6,50,0.073494286,0.11000495,49.67823552
1035,Conecuh,14.5,17.4,32.1,36.4,25.4,0,0,0,0,0,0
1037,Coosa,13.2,17.3,33.2,39.7,25.4,0,0,0,0,0,0
1039,Covington,13.1,14.7,33.8,34,25.4,2,3,50,0.0531237,0.079126444,48.94761829
1041,Crenshaw,12.6,16.5,33.6,39.7,25.4,0,0,0,0,0,0
