FIPS,County,FOODINSEC_10_12,FOODINSEC_13_15,CH_FOODINSEC_12_15,VLFOODSEC_10_12,VLFOODSEC_13_15,CH_VLFOODSEC_12_15,FOODINSEC_CHILD_01_07,FOODINSEC_CHILD_03_11
1001,Autauga,17.9,17.6,-0.3,6.8,7.3,0.5,8.5,9.3
1003,Baldwin,17.9,17.6,-0.3,6.8,7.3,0.5,8.5,9.3
1005,Barbour,17.9,17.6,-0.3,6.8,7.3,0.5,8.5,9.3
1007,Bibb,17.9,17.6,-0.3,6.8,7.3,0.5,8.5,9.3
1009,Blount,17.9,17.6,-0.3,6.8,7.3,0.5,8.5,9.3
1011,Bullock,17.9,17.6,-0.3,6.8,7.3,0.5,8.5,9.3
1013,Butler,17.9,17.6,-0.3,6.8,7.3,0.5,8.5,9.3
1015,Calhoun,17.9,17.6,-0.3,6.8,7.3,0.5,8.5,9.3
1017,Chambers,17.9,17.6,-0.3,6.8,7.3,0.5,8.5,9.3
1019,Cherokee,17.9,17.6,-0.3,6.8,7.3,0.5,8.5,9.3
1021,Chilton,17.9,17.6,-0.3,6.8,7.3,0.5,8.5,9.3
1023,Choctaw,17.9,17.6,-0.3,6.8,7.3,0.5,8.5,9.3
1025,Clarke,17.9,17.6,-0.3,6.8,7.3,0.5,8.5,9.3
1027,Clay,17.9,17.6,-0.3,6.8,7.3,0.5,8.5,9.3
1029,Cleburne,17.9,17.6,-0.3,6.8,7.3,0.5,8.5,9.3
1031,Coffee,17.9,17.6,-0.3,6.8,7.3,0.5,8.5,9.3
1033,Colbert,17.9,17.6,-0.3,6.8,7.3,0.5,8.5,9.3
1035,Conecuh,17.9,17.6,-0.3,6.8,7.3,0.5,8.5,9.3
1037,Coosa,17.9,17.6,-0.3,6.8,7.3,0.5,8.5,9.3
1039,Covington,17.9,17.6,-0.3,6.8,7.3,0.5,8.5,9.3
1041,Crenshaw,17.9,17.6,-0.3,6.8,7.3,0.5,8.5,9.3
1043,Cullman,17.9,17.6,-0.3,6.8,7.3,0.5,8.5,9.3
1045,Dale,17.9,17.6,-0.3,6.8,7.3,0.5,8.5,9.3
1047,Dallas,17.9,17.6,-0.3,6.8,7.3,0.5,8.5,9.3
1049,DeKalb,17.9,17.6,-0.3,6.8,7.3,0.5,8.5,9.3
