FIPS,County,MILK_PRICE10,SODA_PRICE10,MILK_SODA_PRICE10,SODATAX_STORES14,SODATAX_VENDM14,CHIPSTAX_STORES14,CHIPSTAX_VENDM14,FOOD_TAX14
1001,Autauga,0.9703046,0.9722159,0.9232891,4,4,4,4,4
1003,Baldwin,1.01769,1.001391,0.9401653,4,4,4,4,4
1005,Barbour,1.136671,0.9925836,1.0594,4,4,4,4,4
1007,Bibb,0.9703046,0.9722159,0.9232891,4,4,4,4,4
1009,Blount,0.9703046,0.9722159,0.9232891,4,4,4,4,4
1011,Bullock,0.9703046,0.9722159,0.9232891,4,4,4,4,4
1013,Butler,0.9703046,0.9722159,0.9232891,4,4,4,4,4
1015,Calhoun,0.9703046,0.9722159,0.9232891,4,4,4,4,4
1017,Chambers,0.8567245,0.9908802,0.799857,4,4,4,4,4
1019,Cherokee,0.8567245,0.9908802,0.799857,4,4,4,4,4
1021,Chilton,0.9703046,0.9722159,0.9232891,4,4,4,4,4
1023,Choctaw,1.136671,0.9925836,1.0594,4,4,4,4,4
1025,Clarke,1.136671,0.9925836,1.0594,4,4,4,4,4
1027,Clay,0.9703046,0.9722159,0.9232891,4,4,4,4,4
1029,Cleburne,0.8567245,0.9908802,0.799857,4,4,4,4,4
1031,Coffee,1.136671,0.9925836,1.0594,4,4,4,4,4
1033,Colbert,0.9703046,0.9722159,0.9232891,4,4,4,4,4
1035,Conecuh,1.136671,0.9925836,1.0594,4,4,4,4,4
1037,Coosa,0.9703046,0.9722159,0.9232891,4,4,4,4,4
1039,Covington,0.9703046,0.9722159,0.9232891,4,4,4,4,4
1041,Crenshaw,0.9703046,0.9722159,0.9232891,4,4,4,4,4
1043,Cullman,0.9703046,0.9722159,0.9232891,4,4,4,4,4
1045,Dale,1.136671,0.9925836,1.0594,4,4,4,4,4
1047,Dallas,0.9703046,0.9722159,0.9232891,4,4,4,4,4
1049,DeKalb,0.9703046,0.9722159,0.9232891,4,4,4,4,4
1051,Elmore,0.9703046,0.9722159,0.9232891,4,4,4,4,4
1053,Escambia,1.136671,0.9925836,1.0594,4,4,4,4,4
1055,Etowah,0.9703046,0.9722159,0.9232891,4,4,4,4,4
1057,Fayette,0.9703046,0.9722159,0.9232891,4,4,4,4,4
1059,Franklin,0.9703046,0.9722159,0.9232891,4,4,4,4,4
1061,Geneva,1.136671,0.9925836,1.0594,4,4,4,4,4
1063,Greene,0.9703046,0.9722159,0.9232891,4,4,4,4,4
1065,Hale,0.9703046,0.9722159,0.9232891,4,4,4,4,4
1067,Henry,1.136671,0.9925836,1.0594,4,4,4,4,4
1069,Houston,1.136671,0.9925836,1.0594,4,4,4,4,4
1071,Jackson,1.136671,0.9925836,1.0594,4,4,4,4,4
1073,Jefferson,0.9703046,0.9722159,0.9232891,4,4,4,4,4
1075,Lamar,1.136671,0.9925836,1.0594,4,4,4,4,4
1077,Lauderdale,0.9703046,0.9722159,0.9232891,4,4,4,4,4
1079,Lawrence,0.9703046,0.9722159,0.9232891,4,4,4,4,4
1081,Lee,1.136671,0.9925836,1.0594,4,4,4,4,4
1083,Limestone,0.9703046,0.9722159,0.9232891,4,4,4,4,4
1085,Lowndes,0.9703046,0.9722159,0.9232891,4,4,4,4,4
1087,Macon,0.9703046,0.9722159,0.9232891,4,4,4,4,4
1089,Madison,0.9703046,0.9722159,0.9232891,4,4,4,4,4
1091,Marengo,1.136671,0.9925836,1.0594,4,4,4,4,4
1093,Marion,0.9703046,0.9722159,0.9232891,4,4,4,4,4
1095,Marshall,0.9703046,0.9722159,0.9232891,4,4,4,4,4
1097,Mobile,1.01769,1.001391,0.9401653,4,4,4,4,4
1099,Monroe,1.136671,0.9925836,1.0594,4,4,4,4,4
1101,Montgomery,0.9703046,0.9722159,0.9232891,4,4,4,4,4
1103,Morgan,0.9703046,0.9722159,0.9232891,4,4,4,4,4
1105,Perry,0.9703046,0.9722159,0.9232891,4,4,4,4,4
1107,Pickens,1.136671,0.9925836,1.0594,4,4,4,4,4
1109,Pike,0.9703046,0.9722159,0.9232891,4,4,4,4,4
1111,Randolph,0.8567245,0.9908802,0.799857,4,4,4,4,4
1113,Russell,1.136671,0.9925836,1.0594,4,4,4,4,4
1115,St. Clair,0.9703046,0.9722159,0.9232891,4,4,4,4,4
1117,Shelby,0.9703046,0.9722159,0.9232891,4,4,4,4,4
1119,Sumter,1.136671,0.9925836,1.0594,4,4,4,4,4
1121,Talladega,0.9703046,0.9722159,0.9232891,4,4,4,4,4
1123,Tallapoosa,0.9703046,0.9722159,0.9232891,4,4,4,4,4
1125,Tuscaloosa,0.9703046,0.9722159,0.9232891,4,4,4,4,4
1127,Walker,0.9703046,0.9722159,0.9232891,4,4,4,4,4
1129,Washington,1.136671,0.9925836,1.0594,4,4,4,4,4
1131,Wilcox,0.9703046,0.9722159,0.9232891,4,4,4,4,4
1133,Winston,0.9703046,0.9722159,0.9232891,4,4,4,4,4
2013,Aleutians East,,,,0,0,0,0,0
2016,Aleutians West,,,,0,0,0,0,0
2020,Anchorage,,,,0,0,0,0,0
2050,Bethel,,,,0,0,0,0,0
2060,Bristol Bay,,,,0,0,0,0,0
2068,Denali,,,,0,0,0,0,0
2070,Dillingham,,,,0,0,0,0,0
2090,Fairbanks North Star,,,,0,0,0,0,0
2100,Haines,,,,0,0,0,0,0
2105,Hoonah-Angoon,,,,0,0,0,0,0
2110,Juneau,,,,0,0,0,0,0
